12/08/2023 - 03:43:44 PM	Total Devastation(Joining/Connecting) connected from the server
12/08/2023 - 03:43:53 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:43:54 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:43:56 PM	Total Devastation(Гражданин) said '/spectate'
12/08/2023 - 03:43:57 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:43:57 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:43:58 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:43:58 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:43:59 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:43:59 PM	www.twitch.tv/lzxcresloebatell(Joining/Connecting) connected from the server
12/08/2023 - 03:43:59 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:44:00 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:44:00 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:44:01 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:44:01 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:44:01 PM	Total Devastation(Гражданин) entered 'FTPToPos'
12/08/2023 - 03:44:01 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
12/08/2023 - 03:44:03 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:04 PM	Total Devastation(Гражданин) spawned a 'models/props_c17/oildrum001.mdl'
12/08/2023 - 03:44:05 PM	♥schitrelz♥(Joining/Connecting) connected from the server
12/08/2023 - 03:44:11 PM	💀 SCP-173 💀(UA)(Joining/Connecting) connected from the server
12/08/2023 - 03:44:12 PM	Total Devastation(Гражданин) spawned a 'models/props_lab/kennel_physics.mdl'
12/08/2023 - 03:44:13 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:14 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:16 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:16 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:21 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:23 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:23 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:25 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:25 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:25 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:31 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:32 PM	squadron(Joining/Connecting) connected from the server
12/08/2023 - 03:44:32 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:33 PM	RedBeardNestor(Joining/Connecting) connected from the server
12/08/2023 - 03:44:33 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:41 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:42 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:43 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:45 PM	RedBeardNestor(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:46 PM	vadimhalo(Joining/Connecting) connected from the server
12/08/2023 - 03:44:47 PM	RedBeardNestor(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:49 PM	Total Devastation(Гражданин) spawned a 'models/hunter/triangles/1x1x1.mdl'
12/08/2023 - 03:44:50 PM	RedBeardNestor(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:51 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:51 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:52 PM	Total Devastation(Гражданин) spawned a 'models/hunter/triangles/1x1x1.mdl'
12/08/2023 - 03:44:53 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:53 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:54 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:54 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:54 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:54 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:54 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:44:58 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:00 PM	RedBeardNestor(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:00 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:00 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:00 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:01 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:02 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:03 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:07 PM	vadimhalo(Гражданин) said '/'
12/08/2023 - 03:45:09 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:10 PM	RedBeardNestor(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:10 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:11 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:12 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:13 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:17 PM	ZXCRESLOEBATEL(Гражданин) said '/admicnepu'
12/08/2023 - 03:45:17 PM	ZXCRESLOEBATEL(CMD.UNIT) changed his team from 'Гражданин' to 'CMD.UNIT'
12/08/2023 - 03:45:19 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:20 PM	RedBeardNestor(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:20 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:21 PM	ZXCRESLOEBATEL(CMD.UNIT) entered 'discs_request'
12/08/2023 - 03:45:22 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:23 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:29 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:30 PM	RedBeardNestor(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:30 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
12/08/2023 - 03:45:31 PM	ZXCRESLOEBATEL(CMD.UNIT) entered 'discs_request'
12/08/2023 - 03:45:32 PM	♥schitrelz♥(Гражданин) entered 'discs_request'
