12/08/2023 - 12:57:39 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:39 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:40 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:40 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:40 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:41 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:42 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:42 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:42 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:43 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:44 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:44 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:44 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:45 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:45 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:46 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:46 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:47 PM	Total Devastation(Гражданин) entered 'FTPToPos'
12/08/2023 - 12:57:47 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
12/08/2023 - 12:57:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:49 PM	Total Devastation(Гражданин) said '/spectate'
12/08/2023 - 12:57:49 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:50 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:50 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:51 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:51 PM	Total Devastation(Гражданин) entered 'FTPToPos'
12/08/2023 - 12:57:51 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
12/08/2023 - 12:57:52 PM	Total Devastation(Гражданин) said '/spectate'
12/08/2023 - 12:57:53 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:53 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:54 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:54 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:55 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:55 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 12:57:56 PM	Total Devastation(Гражданин) entered 'FTPToPos'
12/08/2023 - 12:57:56 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
12/08/2023 - 12:57:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:57:59 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:09 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:20 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:29 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:37 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:39 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:45 PM	Я не Shapka(Гражданин) spawned a 'models/props_c17/door01_left.mdl'
12/08/2023 - 12:58:45 PM	Я не Shapka(Гражданин) spawned a 'models/props_c17/door01_left.mdl'
12/08/2023 - 12:58:46 PM	Я не Shapka(Гражданин) spawned a 'models/props_c17/door01_left.mdl'
12/08/2023 - 12:58:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:49 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:58:59 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:07 PM	Я не Shapka(Гражданин) used 'fading_door'
12/08/2023 - 12:59:08 PM	Я не Shapka(Гражданин) used 'fading_door'
12/08/2023 - 12:59:09 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:19 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:20 PM	vadimhalo(Joining/Connecting) connected from the server
12/08/2023 - 12:59:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:29 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:32 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:34 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:34 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:37 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:39 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:44 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:49 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:54 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 12:59:59 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:03 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:09 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:13 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:19 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:23 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:29 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:33 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:37 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:39 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:43 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:49 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:53 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:00:59 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:03 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:09 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:13 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:19 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:23 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:29 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:33 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:37 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:39 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:43 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:49 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:53 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:01:59 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:03 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:09 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:13 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:19 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:23 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:29 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:33 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:37 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:39 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:43 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:49 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:53 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:02:58 PM	Я не Shapka(Гражданин) used 'fading_door'
12/08/2023 - 01:02:59 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:03 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:04 PM	vadimhalo(Гражданин) bought 'Принтер ' for $20
12/08/2023 - 01:03:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:09 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:13 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:19 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:23 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:29 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:31 PM	vadimhalo(Гражданин) said '!menu'
12/08/2023 - 01:03:33 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:35 PM	www.twitch.tv/lzxcresloebatell(Joining/Connecting) connected from the server
12/08/2023 - 01:03:37 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:39 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:43 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:45 PM	www.twitch.tv/lzxcresloebatell(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:47 PM	www.twitch.tv/lzxcresloebatell(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:49 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:51 PM	www.twitch.tv/lzxcresloebatell(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:53 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:03:59 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:04:01 PM	www.twitch.tv/lzxcresloebatell(Гражданин) entered 'discs_request'
12/08/2023 - 01:04:02 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:02 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:02 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:02 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:02 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:02 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:03 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 01:04:04 PM	www.twitch.tv/lzxcresloebatell(Гражданин) said '/rpname ZXCRESLOEBATEL'
12/08/2023 - 01:04:04 PM	www.twitch.tv/lzxcresloebatell(Гражданин) changed his name from 'www.twitch.tv/lzxcresloebatell' to 'ZXCRESLOEBATEL'
12/08/2023 - 01:04:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 01:04:08 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:08 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:08 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:08 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:08 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:08 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:09 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:09 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:09 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:09 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:09 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:09 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:09 PM	Я не Shapka(Гражданин) entered 'discs_request'
12/08/2023 - 01:04:10 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:10 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:10 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:10 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:10 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:10 PM	vadimhalo(Гражданин) entered 'FPP_sendblocked'
12/08/2023 - 01:04:11 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
