16/08/2023 - 09:38:06 PM	FANCA(Joining/Connecting) connected from the server
16/08/2023 - 09:38:21 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:22 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:24 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:30 PM	Saldeni(Joining/Connecting) connected from the server
16/08/2023 - 09:38:34 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:40 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:40 PM	привет мой лучший(Joining/Connecting) connected from the server
16/08/2023 - 09:38:42 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:44 PM	FANCA(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:47 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:54 PM	FANCA(Гражданин) said '/rpname Люцик Трипл'
16/08/2023 - 09:38:54 PM	FANCA(Гражданин) changed his name from 'FANCA' to 'Люцик Трипл'
16/08/2023 - 09:38:54 PM	Люцик Трипл(Гражданин) entered 'discs_request'
16/08/2023 - 09:38:56 PM	Azzeti(Joining/Connecting) connected from the server
16/08/2023 - 09:38:57 PM	Azzeti(Гражданин) disconnected from the server
16/08/2023 - 09:38:57 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:04 PM	Люцик Трипл(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:05 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:07 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:07 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:07 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:07 PM	vadimhalo(Joining/Connecting) connected from the server
16/08/2023 - 09:39:08 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:09 PM	Люцик Трипл(Гражданин) used 'ledscreen'
16/08/2023 - 09:39:14 PM	Люцик Трипл(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:15 PM	Роман Карман(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:17 PM	Saldeni(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:24 PM	Люцик Трипл(Гражданин) entered 'discs_request'
16/08/2023 - 09:39:25 PM	Роман Карман(Гражданин) entered 'discs_request'
