12/08/2023 - 03:13:07 PM	Total Devastation(Joining/Connecting) connected from the server
12/08/2023 - 03:13:16 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:18 PM	www.twitch.tv/lzxcresloebatell(Joining/Connecting) connected from the server
12/08/2023 - 03:13:18 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:20 PM	Polonar21(Joining/Connecting) connected from the server
12/08/2023 - 03:13:22 PM	Total Devastation(Гражданин) said '/spectate'
12/08/2023 - 03:13:22 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:13:23 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:13:23 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:13:24 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
12/08/2023 - 03:13:24 PM	Total Devastation(Гражданин) entered 'FTPToPos'
12/08/2023 - 03:13:24 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
12/08/2023 - 03:13:27 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:29 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:32 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:32 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:32 PM	Polonar21(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:33 PM	vadimhalo(Joining/Connecting) connected from the server
12/08/2023 - 03:13:34 PM	Polonar21(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:37 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:38 PM	Polonar21(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:42 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:47 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:48 PM	Polonar21(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:52 PM	ZXCRESLOEBATEL(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:53 PM	ZXCRESLOEBATEL(Гражданин) used ULX command ' noclip'
12/08/2023 - 03:13:53 PM	ZXCRESLOEBATEL(Гражданин) said '!noclip'
12/08/2023 - 03:13:56 PM	ZXCRESLOEBATEL(Гражданин) used ULX command ' noclip'
12/08/2023 - 03:13:56 PM	ZXCRESLOEBATEL(Гражданин) said '!noclip'
12/08/2023 - 03:13:57 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:13:57 PM	Polonar21(Гражданин) disconnected from the server
12/08/2023 - 03:14:01 PM	ZXCRESLOEBATEL(Гражданин) said '/admicnepu'
12/08/2023 - 03:14:01 PM	ZXCRESLOEBATEL(CMD.UNIT) changed his team from 'Гражданин' to 'CMD.UNIT'
12/08/2023 - 03:14:02 PM	ZXCRESLOEBATEL(CMD.UNIT) entered 'discs_request'
12/08/2023 - 03:14:07 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:08 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:11 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:11 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:11 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:11 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:12 PM	ZXCRESLOEBATEL(CMD.UNIT) entered 'discs_request'
12/08/2023 - 03:14:16 PM	vadimhalo(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:17 PM	Total Devastation(Гражданин) entered 'discs_request'
12/08/2023 - 03:14:22 PM	ZXCRESLOEBATEL(CMD.UNIT) entered 'discs_request'
12/08/2023 - 03:14:26 PM	💀 SCP-173 💀(UA)(Joining/Connecting) connected from the server
